,RTWEXBGS,EXPGS,EXPGS_lag2,usd_pct,exports_pct
2006Q2,99.02573333333333,1459.767,1350.743,-0.012285044960937186,0.03718608785124933
2006Q3,98.91250000000001,1475.417,1413.966,-0.0011434738175799541,0.04680609116612122
2006Q4,97.48996666666666,1531.531,1459.767,-0.014381734698176163,0.032391867979852496
2007Q1,97.63496666666667,1577.991,1475.417,0.0014873325425968087,0.010720889018589919
2007Q2,95.54423333333334,1622.764,1531.531,-0.02141377628028751,0.03803263755263764
2007Q3,93.54436666666668,1685.71,1577.991,-0.02093131732701814,0.030335657587081233
2007Q4,90.3008,1750.714,1622.764,-0.03467409938457022,0.028373419113290277
2008Q1,88.72783333333332,1813.321,1685.71,-0.017419188608148284,0.038789374178870295
2008Q2,87.23426666666667,1905.282,1750.714,-0.016833124517484976,0.03856179295371076
2008Q3,89.67963333333334,1922.215,1813.321,0.028032180014887276,0.035760838149463625
2008Q4,98.2389,1700.304,1905.282,0.09544270363876728,0.05071413169538097
2009Q1,100.42456666666668,1511.768,1922.215,0.02224848473126917,0.008887398295895244
2009Q2,96.48473333333334,1521.093,1700.304,-0.039231768322293026,-0.11544546265636246
2009Q3,93.34786666666666,1594.725,1511.768,-0.032511533776328094,-0.11088370079703402
2009Q4,91.04776666666667,1703.508,1521.093,-0.024640091757140548,0.0061682744971451875
2010Q1,91.49099999999999,1759.877,1594.725,0.004868140642658725,0.048407296595277094
2010Q2,92.51773333333334,1819.741,1703.508,0.011222233152259342,0.06821426891783866
2010Q3,91.16093333333333,1877.253,1759.877,-0.014665296598994404,0.03308995320245045
2010Q4,87.99516666666666,1972.116,1819.741,-0.034727229646617674,0.034016013619133645
2011Q1,86.74276666666667,2040.407,1877.253,-0.014232599896585207,0.031604497563114675
2011Q2,84.57563333333333,2116.132,1972.116,-0.02498344722691581,0.050532879691762345
2011Q3,85.24966666666667,2156.793,2040.407,0.007969592502805378,0.03462828758551728
2011Q4,88.60856666666666,2150.123,2116.132,0.03940074056985554,0.037112693692973986
2012Q1,87.85346666666668,2189.981,2156.793,-0.008521749401957601,0.01921477488171819
2012Q2,89.22303333333333,2215.586,2150.123,0.015589215982370508,-0.0030925545474229654
2012Q3,89.07813333333333,2227.734,2189.981,-0.0016240201054212866,0.01853754413119635
2012Q4,87.86286666666666,2237.498,2215.586,-0.013642704681732565,0.011691882258338948
2013Q1,88.15083333333332,2255.929,2227.734,0.003277455853553546,0.005482973804672886
2013Q2,88.52763333333333,2261.403,2237.498,0.004274491638385003,0.004382929021149007
2013Q3,89.48383333333334,2285.116,2255.929,0.010801147212414763,0.008237325798726935
2013Q4,88.71319999999999,2349.24,2261.403,-0.00861198391515805,0.002426494805465751
2014Q1,90.00103333333334,2343.602,2285.116,0.01451681748976874,0.010485968224151154
2014Q2,89.2224,2395.168,2349.24,-0.008651382150797637,0.028061595122523153
2014Q3,89.92503333333333,2399.191,2343.602,0.007875077708437983,-0.002399925082154142
2014Q4,93.7076,2376.218,2395.168,0.042063555902676075,0.022002882742035768
2015Q1,98.71416666666666,2299.045,2399.191,0.05342754127377769,0.001679631658405567
2015Q2,99.29976666666666,2300.441,2376.218,0.005932279223684445,-0.009575311011086662
2015Q3,102.66596666666668,2260.724,2299.045,0.033899374721592324,-0.032477239041199035
2015Q4,104.04816666666666,2222.279,2300.441,0.013463078806706053,0.0006072086453285941
2016Q1,105.83233333333334,2181.957,2260.724,0.01714750700396772,-0.017264950502968612
2016Q2,103.34193333333333,2221.936,2222.279,-0.023531560928134798,-0.017005614130694457
2016Q3,104.42066666666666,2270.0,2181.957,0.010438486087286813,-0.0181444364096498
2016Q4,107.9877,2268.339,2221.936,0.03416022371050431,0.01832254256156296
2017Q1,108.56143333333334,2339.728,2270.0,0.005312950765071767,0.021631586148295856
2017Q2,105.73563333333334,2349.681,2268.339,-0.026029501575605574,-0.0007317180616740471
2017Q3,102.01119999999999,2384.524,2339.728,-0.03522401309681489,0.0314719272560231
2017Q4,103.07119999999999,2479.107,2349.681,0.010391015888451482,0.004253913275389376
2018Q1,100.44896666666666,2517.268,2384.524,-0.02544098965892827,0.014828821444272666
2018Q2,103.0278,2562.172,2479.107,0.025673069807587323,0.039665358788588456
2018Q3,105.49466666666666,2535.501,2517.268,0.02394369933810747,0.015393042736759677
2018Q4,107.3379,2537.415,2562.172,0.01747228927844713,0.017838386695417485
2019Q1,106.24193333333334,2540.244,2535.501,-0.01021043514608233,-0.010409527541476504
2019Q2,106.97156666666666,2547.448,2537.415,0.006867658658320064,0.000754880396418578
2019Q3,107.83076666666666,2532.405,2540.244,0.00803204091305254,0.0011149141941702023
2019Q4,107.69236666666666,2537.466,2547.448,-0.0012834926828243498,0.002835948042786418
2020Q1,108.7715,2430.941,2532.405,0.01002051832209716,-0.0059051254431885525
2020Q2,112.06313333333333,1829.691,2537.466,0.030261909905934248,0.0019984955013119254
2020Q3,108.4794,2116.753,2430.941,-0.03197959245591919,-0.04198085806864016
2020Q4,105.70776666666666,2277.965,1829.691,-0.02554985862139114,-0.24733220592354965
2021Q1,104.16703333333334,2393.033,2116.753,-0.014575403321042568,0.1568909723007874
2021Q2,104.8393,2522.815,2277.965,0.006453737282844596,0.07616004323603187
2021Q3,106.91300000000001,2581.341,2393.033,0.01977979631683935,0.05051350657275222
2021Q4,109.17236666666666,2777.597,2522.815,0.02113275903460421,0.054233267990871914
2022Q1,110.15913333333333,2865.226,2581.341,0.009038612029723003,0.023198688766318476
2022Q2,113.70053333333333,3093.734,2777.597,0.03214803795963039,0.07602869981145477
2022Q3,117.83210000000001,3129.075,2865.226,0.03633726725409692,0.03154849317593578
2022Q4,118.58463333333333,3057.684,3093.734,0.0063864883451394405,0.07975217312700633
2023Q1,114.3941,3085.516,3129.075,-0.035337911966671354,0.011423412614012696
2023Q2,113.50580000000001,3016.211,3057.684,-0.007765260620958503,-0.02281536875913792
2023Q3,113.72066666666666,3082.082,3085.516,0.0018930016498421853,0.009102314038991643
2023Q4,115.19823333333333,3109.632,3016.211,0.012992947631916829,-0.02246139705644057
2024Q1,114.32929999999999,3164.101,3082.082,-0.007542939749944133,0.021838989381048002
2024Q2,116.13850000000001,3192.632,3109.632,0.015824464944681926,0.008938762823312407
2024Q3,115.86506666666666,3256.486,3164.101,-0.002354372868026866,0.017516220568864815
2024Q4,119.127,3248.255,3192.632,0.02815286287037333,0.009017095219147508
2025Q1,121.22996666666667,3293.661,3256.486,0.017653148880326652,0.020000425980820857
2025Q2,116.08473333333332,3267.506,3248.255,-0.042441926487372994,-0.00252757113035329
2025Q3,114.35563333333334,3366.868,3293.661,-0.014895154171866154,0.013978582346521495
2025Q4,114.86473333333333,3350.605,3267.506,0.004451901363844657,-0.007941011537010101
